cloud,family_category,family,family_sort,size,cpu,memory,storage_boot,storage_extra,network_bandwidth,other_devices,cpu_type,family_url,virt
Amazon Web Services,Memory Optimized,R5n,2,r5n.xlarge,4,32,EBS,,<=25,,Intel Xeon (Cascade Lake),https://aws.amazon.com/ec2/instance-types/r5/,Nitro (KVM)
Amazon Web Services,Memory Optimized,R5n,3,r5n.2xlarge,8,64,EBS,,<=25,,Intel Xeon (Cascade Lake),https://aws.amazon.com/ec2/instance-types/r5/,Nitro (KVM)
Amazon Web Services,Memory Optimized,R5n,4,r5n.4xlarge,16,128,EBS,,<=25,,Intel Xeon (Cascade Lake),https://aws.amazon.com/ec2/instance-types/r5/,Nitro (KVM)
Amazon Web Services,Memory Optimized,R5n,5,r5n.8xlarge,32,256,EBS,,25,,Intel Xeon (Cascade Lake),https://aws.amazon.com/ec2/instance-types/r5/,Nitro (KVM)
Amazon Web Services,Memory Optimized,R5n,6,r5n.12xlarge,48,384,EBS,,50,,Intel Xeon (Cascade Lake),https://aws.amazon.com/ec2/instance-types/r5/,Nitro (KVM)
Amazon Web Services,Memory Optimized,R5n,7,r5n.16xlarge,64,512,EBS,,75,,Intel Xeon (Cascade Lake),https://aws.amazon.com/ec2/instance-types/r5/,Nitro (KVM)
Amazon Web Services,Memory Optimized,R5n,8,r5n.24xlarge,96,768,EBS,,100,Elastic Fabric Adapter (EFA) Support,Intel Xeon (Cascade Lake),https://aws.amazon.com/ec2/instance-types/r5/,Nitro (KVM)
Amazon Web Services,Memory Optimized,R5n,9,r5n.metal,96,768,EBS,,100,Elastic Fabric Adapter (EFA) Support,Intel Xeon (Cascade Lake),https://aws.amazon.com/ec2/instance-types/r5/,Nitro (KVM)
Amazon Web Services,Memory Optimized,R5n,10,r5dn.large,2,16,EBS,1x 75 GiB NVMe SSD,<=25,,Intel Xeon (Cascade Lake),https://aws.amazon.com/ec2/instance-types/r5/,Nitro (KVM)
Amazon Web Services,Memory Optimized,R5n,11,r5dn.xlarge,4,32,EBS,1x 150 GiB NVMe SSD,<=25,,Intel Xeon (Cascade Lake),https://aws.amazon.com/ec2/instance-types/r5/,Nitro (KVM)
Amazon Web Services,Memory Optimized,R5n,12,r5dn.2xlarge,8,64,EBS,1x 300 GiB NVMe SSD,<=25,,Intel Xeon (Cascade Lake),https://aws.amazon.com/ec2/instance-types/r5/,Nitro (KVM)
Amazon Web Services,Memory Optimized,R5n,13,r5dn.4xlarge,16,128,EBS,2x 300 GiB NVMe SSD,<=25,,Intel Xeon (Cascade Lake),https://aws.amazon.com/ec2/instance-types/r5/,Nitro (KVM)
Amazon Web Services,Memory Optimized,R5n,14,r5dn.8xlarge,32,256,EBS,2x 600 GiB NVMe SSD,25,,Intel Xeon (Cascade Lake),https://aws.amazon.com/ec2/instance-types/r5/,Nitro (KVM)
Amazon Web Services,Memory Optimized,R5n,15,r5dn.12xlarge,48,384,EBS,2x 900 GiB NVMe SSD,50,,Intel Xeon (Cascade Lake),https://aws.amazon.com/ec2/instance-types/r5/,Nitro (KVM)
Amazon Web Services,Memory Optimized,R5n,16,r5dn.16xlarge,64,512,EBS,4x 600 GiB NVMe SSD,75,,Intel Xeon (Cascade Lake),https://aws.amazon.com/ec2/instance-types/r5/,Nitro (KVM)
Amazon Web Services,Memory Optimized,R5n,17,r5dn.24xlarge,96,768,EBS,4x 900 GiB NVMe SSD,100,Elastic Fabric Adapter (EFA) Support,Intel Xeon (Cascade Lake),https://aws.amazon.com/ec2/instance-types/r5/,Nitro (KVM)
Amazon Web Services,Memory Optimized,R5n,18,r5dn.metal,96,768,EBS,4x 900 GiB NVMe SSD,100,Elastic Fabric Adapter (EFA) Support,Intel Xeon (Cascade Lake),https://aws.amazon.com/ec2/instance-types/r5/,Nitro (KVM)
Amazon Web Services,Memory Optimized,R6g,1,r6g.medium,1,8,EBS,,<=10,,AWS Graviton2,https://aws.amazon.com/ec2/instance-types/r6/,Nitro (KVM)
Amazon Web Services,Memory Optimized,R6g,2,r6g.large,2,16,EBS,,<=10,,AWS Graviton2,https://aws.amazon.com/ec2/instance-types/r6/,Nitro (KVM)
Amazon Web Services,Memory Optimized,R6g,3,r6g.xlarge,4,32,EBS,,<=10,,AWS Graviton2,https://aws.amazon.com/ec2/instance-types/r6/,Nitro (KVM)
Amazon Web Services,Memory Optimized,R6g,4,r6g.2xlarge,8,64,EBS,,<=10,,AWS Graviton2,https://aws.amazon.com/ec2/instance-types/r6/,Nitro (KVM)
Amazon Web Services,Memory Optimized,R6g,5,r6g.4xlarge,16,128,EBS,,<=10,,AWS Graviton2,https://aws.amazon.com/ec2/instance-types/r6/,Nitro (KVM)
Amazon Web Services,Memory Optimized,R6g,6,r6g.8xlarge,32,256,EBS,,12,,AWS Graviton2,https://aws.amazon.com/ec2/instance-types/r6/,Nitro (KVM)
Amazon Web Services,Memory Optimized,R6g,7,r6g.12xlarge,48,384,EBS,,20,,AWS Graviton2,https://aws.amazon.com/ec2/instance-types/r6/,Nitro (KVM)
Amazon Web Services,Memory Optimized,R6g,8,r6g.16xlarge,64,512,EBS,,25,,AWS Graviton2,https://aws.amazon.com/ec2/instance-types/r6/,Nitro (KVM)
Amazon Web Services,Memory Optimized,R6g,9,r6g.metal,64,512,EBS,,25,,AWS Graviton2,https://aws.amazon.com/ec2/instance-types/r6/,Nitro (KVM)
Amazon Web Services,Memory Optimized,R6g,10,r6gd.medium,1,8,EBS,1x 59 GiB NVMe SSD,<=10,,AWS Graviton2,https://aws.amazon.com/ec2/instance-types/r6/,Nitro (KVM)
Amazon Web Services,Memory Optimized,R6g,11,r6gd.large,2,16,EBS,1x 118 GiB NVMe SSD,<=10,,AWS Graviton2,https://aws.amazon.com/ec2/instance-types/r6/,Nitro (KVM)
Amazon Web Services,Memory Optimized,R6g,12,r6gd.xlarge,4,32,EBS,1x 237 GiB NVMe SSD,<=10,,AWS Graviton2,https://aws.amazon.com/ec2/instance-types/r6/,Nitro (KVM)
Amazon Web Services,Memory Optimized,R6g,13,r6gd.2xlarge,8,64,EBS,1x 474 GiB NVMe SSD,<=10,,AWS Graviton2,https://aws.amazon.com/ec2/instance-types/r6/,Nitro (KVM)
Amazon Web Services,Memory Optimized,R6g,14,r6gd.4xlarge,16,128,EBS,1x 950 GiB NVMe SSD,<=10,,AWS Graviton2,https://aws.amazon.com/ec2/instance-types/r6/,Nitro (KVM)
Amazon Web Services,Memory Optimized,R6g,15,r6gd.8xlarge,32,256,EBS,1x 1900 GiB NVMe SSD,12,,AWS Graviton2,https://aws.amazon.com/ec2/instance-types/r6/,Nitro (KVM)
Amazon Web Services,Memory Optimized,R6g,16,r6gd.12xlarge,48,384,EBS,2x 1425 GiB NVMe SSD,20,,AWS Graviton2,https://aws.amazon.com/ec2/instance-types/r6/,Nitro (KVM)
Amazon Web Services,Memory Optimized,R6g,17,r6gd.16xlarge,64,512,EBS,2x 1900 GiB NVMe SSD,25,,AWS Graviton2,https://aws.amazon.com/ec2/instance-types/r6/,Nitro (KVM)
Amazon Web Services,Memory Optimized,R6g,18,r6gd.metal,64,512,EBS,2x 1900 GiB NVMe SSD,25,,AWS Graviton2,https://aws.amazon.com/ec2/instance-types/r6/,Nitro (KVM)
Amazon Web Services,General Purpose,T2,1,t2.nano,1,0.5,EBS,,Low,,Intel Xeon,https://aws.amazon.com/ec2/instance-types/t2/,HVM (Xen)
Amazon Web Services,General Purpose,T2,2,t2.micro,1,1,EBS,,Low to Moderate,,Intel Xeon,https://aws.amazon.com/ec2/instance-types/t2/,HVM (Xen)
Amazon Web Services,General Purpose,T2,3,t2.small,1,2,EBS,,Low to Moderate,,Intel Xeon,https://aws.amazon.com/ec2/instance-types/t2/,HVM (Xen)
Amazon Web Services,General Purpose,T2,4,t2.medium,2,4,EBS,,Low to Moderate,,Intel Xeon,https://aws.amazon.com/ec2/instance-types/t2/,HVM (Xen)
Amazon Web Services,General Purpose,T2,5,t2.large,2,8,EBS,,Low to Moderate,,Intel Xeon,https://aws.amazon.com/ec2/instance-types/t2/,HVM (Xen)
Amazon Web Services,General Purpose,T2,6,t2.xlarge,4,16,EBS,,Moderate,,Intel Xeon,https://aws.amazon.com/ec2/instance-types/t2/,HVM (Xen)
Amazon Web Services,General Purpose,T2,7,t2.2xlarge,8,32,EBS,,Moderate,,Intel Xeon,https://aws.amazon.com/ec2/instance-types/t2/,HVM (Xen)
Amazon Web Services,General Purpose,T3,1,t3.nano,2,0.5,EBS,,<=5,,Intel Xeon (Skylake or Cascade Lake),https://aws.amazon.com/ec2/instance-types/t3/,Nitro (KVM)
Amazon Web Services,General Purpose,T3,2,t3.micro,2,1,EBS,,<=5,,Intel Xeon (Skylake or Cascade Lake),https://aws.amazon.com/ec2/instance-types/t3/,Nitro (KVM)
Amazon Web Services,General Purpose,T3,3,t3.small,2,2,EBS,,<=5,,Intel Xeon (Skylake or Cascade Lake),https://aws.amazon.com/ec2/instance-types/t3/,Nitro (KVM)
Amazon Web Services,General Purpose,T3,4,t3.medium,2,4,EBS,,<=5,,Intel Xeon (Skylake or Cascade Lake),https://aws.amazon.com/ec2/instance-types/t3/,Nitro (KVM)
Amazon Web Services,General Purpose,T3,5,t3.large,2,8,EBS,,<=5,,Intel Xeon (Skylake or Cascade Lake),https://aws.amazon.com/ec2/instance-types/t3/,Nitro (KVM)
Amazon Web Services,General Purpose,T3,6,t3.xlarge,4,16,EBS,,<=5,,Intel Xeon (Skylake or Cascade Lake),https://aws.amazon.com/ec2/instance-types/t3/,Nitro (KVM)
Amazon Web Services,General Purpose,T3,7,t3.2xlarge,8,32,EBS,,<=5,,Intel Xeon (Skylake or Cascade Lake),https://aws.amazon.com/ec2/instance-types/t3/,Nitro (KVM)
Amazon Web Services,General Purpose,T3a,1,t3a.nano,2,0.5,EBS,,<=5,,AMD EPYC 7000 (Naples),https://aws.amazon.com/ec2/instance-types/t3/,Nitro (KVM)
Amazon Web Services,General Purpose,T3a,2,t3a.micro,2,1,EBS,,<=5,,AMD EPYC 7000 (Naples),https://aws.amazon.com/ec2/instance-types/t3/,Nitro (KVM)
Amazon Web Services,General Purpose,T3a,3,t3a.small,2,2,EBS,,<=5,,AMD EPYC 7000 (Naples),https://aws.amazon.com/ec2/instance-types/t3/,Nitro (KVM)
Amazon Web Services,General Purpose,T3a,4,t3a.medium,2,4,EBS,,<=5,,AMD EPYC 7000 (Naples),https://aws.amazon.com/ec2/instance-types/t3/,Nitro (KVM)
Amazon Web Services,General Purpose,T3a,5,t3a.large,2,8,EBS,,<=5,,AMD EPYC 7000 (Naples),https://aws.amazon.com/ec2/instance-types/t3/,Nitro (KVM)
Amazon Web Services,General Purpose,T3a,6,t3a.xlarge,4,16,EBS,,<=5,,AMD EPYC 7000 (Naples),https://aws.amazon.com/ec2/instance-types/t3/,Nitro (KVM)
Amazon Web Services,General Purpose,T3a,7,t3a.2xlarge,8,32,EBS,,<=5,,AMD EPYC 7000 (Naples),https://aws.amazon.com/ec2/instance-types/t3/,Nitro (KVM)
Amazon Web Services,General Purpose,T4g,1,t4g.nano,2,0.5,EBS,,<=5,,AWS Graviton2,https://aws.amazon.com/ec2/instance-types/t4/,Nitro (KVM)
Amazon Web Services,General Purpose,T4g,2,t4g.micro,2,1,EBS,,<=5,,AWS Graviton2,https://aws.amazon.com/ec2/instance-types/t4/,Nitro (KVM)
Amazon Web Services,General Purpose,T4g,3,t4g.small,2,2,EBS,,<=5,,AWS Graviton2,https://aws.amazon.com/ec2/instance-types/t4/,Nitro (KVM)
Amazon Web Services,General Purpose,T4g,4,t4g.medium,2,4,EBS,,<=5,,AWS Graviton2,https://aws.amazon.com/ec2/instance-types/t4/,Nitro (KVM)
Amazon Web Services,General Purpose,T4g,5,t4g.large,2,8,EBS,,<=5,,AWS Graviton2,https://aws.amazon.com/ec2/instance-types/t4/,Nitro (KVM)
Amazon Web Services,General Purpose,T4g,6,t4g.xlarge,4,16,EBS,,<=5,,AWS Graviton2,https://aws.amazon.com/ec2/instance-types/t4/,Nitro (KVM)
Amazon Web Services,General Purpose,T4g,7,t4g.2xlarge,8,32,EBS,,<=5,,AWS Graviton2,https://aws.amazon.com/ec2/instance-types/t4/,Nitro (KVM)
Amazon Web Services,Memory Optimized,X1,1,x1.16xlarge,64,976,EBS,1x 1920 GiB SSD,10,,Intel Xeon E7-8880 v3 (Haswell),https://aws.amazon.com/ec2/instance-types/x1/,HVM (Xen)
Amazon Web Services,Memory Optimized,X1,2,x1.32xlarge,128,1952,EBS,2x 1920 GiB SSD,25,,Intel Xeon E7-8880 v3 (Haswell),https://aws.amazon.com/ec2/instance-types/x1/,HVM (Xen)
Amazon Web Services,Memory Optimized,X1e,1,x1e.xlarge,4,122,EBS,1x 120 GiB SSD,<=10,,Intel Xeon E7-8880 v3 (Haswell),https://aws.amazon.com/ec2/instance-types/x1e/,HVM (Xen)
Amazon Web Services,Memory Optimized,X1e,2,x1e.2xlarge,8,244,EBS,1x 240 GiB SSD,<=10,,Intel Xeon E7-8880 v3 (Haswell),https://aws.amazon.com/ec2/instance-types/x1e/,HVM (Xen)
Amazon Web Services,Memory Optimized,X1e,3,x1e.4xlarge,16,488,EBS,1x 480 GiB SSD,<=10,,Intel Xeon E7-8880 v3 (Haswell),https://aws.amazon.com/ec2/instance-types/x1e/,HVM (Xen)
Amazon Web Services,Memory Optimized,X1e,4,x1e.8xlarge,32,976,EBS,1x 960 GiB SSD,<=10,,Intel Xeon E7-8880 v3 (Haswell),https://aws.amazon.com/ec2/instance-types/x1e/,HVM (Xen)
Amazon Web Services,Memory Optimized,X1e,5,x1e.16xlarge,64,1952,EBS,1x 1920 GiB SSD,10,,Intel Xeon E7-8880 v3 (Haswell),https://aws.amazon.com/ec2/instance-types/x1e/,HVM (Xen)
Amazon Web Services,Memory Optimized,X1e,6,x1e.32xlarge,128,3904,EBS,2x 1920 GiB SSD,25,,Intel Xeon E7-8880 v3 (Haswell),https://aws.amazon.com/ec2/instance-types/x1e/,HVM (Xen)
Amazon Web Services,Memory Optimized,X2gd,1,x2gd.medium,1,16,EBS,1x 59 GiB NVMe SSD,<=10,,AWS Graviton2,https://aws.amazon.com/ec2/instance-types/x2/,Nitro (KVM)
Amazon Web Services,Memory Optimized,X2gd,2,x2gd.large,2,32,EBS,1x 118 GiB NVMe SSD,<=10,,AWS Graviton2,https://aws.amazon.com/ec2/instance-types/x2/,Nitro (KVM)
Amazon Web Services,Memory Optimized,X2gd,3,x2gd.xlarge,4,64,EBS,1x 237 GiB NVMe SSD,<=10,,AWS Graviton2,https://aws.amazon.com/ec2/instance-types/x2/,Nitro (KVM)
Amazon Web Services,Memory Optimized,X2gd,4,x2gd.2xlarge,8,128,EBS,1x 475 GiB NVMe SSD,<=10,,AWS Graviton2,https://aws.amazon.com/ec2/instance-types/x2/,Nitro (KVM)
Amazon Web Services,Memory Optimized,X2gd,5,x2gd.4xlarge,16,256,EBS,1x 950 GiB NVMe SSD,<=10,,AWS Graviton2,https://aws.amazon.com/ec2/instance-types/x2/,Nitro (KVM)
Amazon Web Services,Memory Optimized,X2gd,6,x2gd.8xlarge,32,512,EBS,1x 1900 GiB NVMe SSD,12,,AWS Graviton2,https://aws.amazon.com/ec2/instance-types/x2/,Nitro (KVM)
Amazon Web Services,Memory Optimized,X2gd,7,x2gd.12xlarge,48,768,EBS,2x 1425 GiB NVMe SSD,20,,AWS Graviton2,https://aws.amazon.com/ec2/instance-types/x2/,Nitro (KVM)
Amazon Web Services,Memory Optimized,X2gd,8,x2gd.16xlarge,64,1024,EBS,2x 1900 GiB NVMe SSD,25,,AWS Graviton2,https://aws.amazon.com/ec2/instance-types/x2/,Nitro (KVM)
Amazon Web Services,Memory Optimized,X2gd,9,x2gd.metal,64,1024,EBS,2x 1900 GiB NVMe SSD,25,,AWS Graviton2,https://aws.amazon.com/ec2/instance-types/x2/,Nitro (KVM)
Amazon Web Services,Memory Optimized,z1d,1,z1d.large,2,16,EBS,1x 75 GiB NVMe SSD,<=10,,Intel Xeon (Skylake),https://aws.amazon.com/ec2/instance-types/z1d/,Nitro (KVM)
Amazon Web Services,Memory Optimized,z1d,2,z1d.xlarge,4,32,EBS,1x 150 GiB NVMe SSD,<=10,,Intel Xeon (Skylake),https://aws.amazon.com/ec2/instance-types/z1d/,Nitro (KVM)
Amazon Web Services,Memory Optimized,z1d,3,z1d.2xlarge,8,64,EBS,1x 300 GiB NVMe SSD,<=10,,Intel Xeon (Skylake),https://aws.amazon.com/ec2/instance-types/z1d/,Nitro (KVM)
Amazon Web Services,Memory Optimized,z1d,4,z1d.3xlarge,12,96,EBS,1x 450 GiB NVMe SSD,<=10,,Intel Xeon (Skylake),https://aws.amazon.com/ec2/instance-types/z1d/,Nitro (KVM)
Amazon Web Services,Memory Optimized,z1d,5,z1d.6xlarge,24,192,EBS,1x 900 GiB NVMe SSD,10,,Intel Xeon (Skylake),https://aws.amazon.com/ec2/instance-types/z1d/,Nitro (KVM)
Amazon Web Services,Memory Optimized,z1d,6,z1d.12xlarge,48,384,EBS,2x 900 GiB NVMe SSD,25,,Intel Xeon (Skylake),https://aws.amazon.com/ec2/instance-types/z1d/,Nitro (KVM)
Amazon Web Services,Memory Optimized,z1d,7,z1d.metal,48,384,EBS,2x 900 GiB NVMe SSD,25,,Intel Xeon (Skylake),https://aws.amazon.com/ec2/instance-types/z1d/,Nitro (KVM)
Google Cloud Platform,Compute Optimized,C2,1,c2-standard-4,4,16,SSD,,10,,Intel Xeon (Cascade Lake),https://cloud.google.com/compute/docs/machine-types#c2_machine_types,KVM
Google Cloud Platform,Compute Optimized,C2,2,c2-standard-8,8,32,SSD,,16,,Intel Xeon (Cascade Lake),https://cloud.google.com/compute/docs/machine-types#c2_machine_types,KVM
Google Cloud Platform,Compute Optimized,C2,3,c2-standard-16,16,64,SSD,,32,,Intel Xeon (Cascade Lake),https://cloud.google.com/compute/docs/machine-types#c2_machine_types,KVM
Google Cloud Platform,Compute Optimized,C2,4,c2-standard-30,30,120,SSD,,32,,Intel Xeon (Cascade Lake),https://cloud.google.com/compute/docs/machine-types#c2_machine_types,KVM
Google Cloud Platform,Compute Optimized,C2,5,c2-standard-60,60,240,SSD,,32,,Intel Xeon (Cascade Lake),https://cloud.google.com/compute/docs/machine-types#c2_machine_types,KVM
Google Cloud Platform,Shared Core,E2 Shared Core,1,e2-micro,2,0.25,HDD,,1,,"Intel Xeon (Skylake, Haswell, Broadwell) or AMD EPYC (Rome)",https://cloud.google.com/compute/docs/machine-types#e2_shared-core_machine_types,KVM
Google Cloud Platform,Shared Core,E2 Shared Core,2,e2-small,2,0.5,HDD,,1,,"Intel Xeon (Skylake, Haswell, Broadwell) or AMD EPYC (Rome)",https://cloud.google.com/compute/docs/machine-types#e2_shared-core_machine_types,KVM
Google Cloud Platform,Shared Core,E2 Shared Core,3,e2-medium,2,1,HDD,,2,,"Intel Xeon (Skylake, Haswell, Broadwell) or AMD EPYC (Rome)",https://cloud.google.com/compute/docs/machine-types#e2_shared-core_machine_types,KVM
Google Cloud Platform,General Purpose,E2,4,e2-standard-2,2,8,HDD,,4,,"Intel Xeon (Skylake, Haswell, Broadwell) or AMD EPYC (Rome)",https://cloud.google.com/compute/docs/machine-types#e2_machine_types,KVM
Google Cloud Platform,General Purpose,E2,5,e2-standard-4,4,16,HDD,,8,,"Intel Xeon (Skylake, Haswell, Broadwell) or AMD EPYC (Rome)",https://cloud.google.com/compute/docs/machine-types#e2_machine_types,KVM
Google Cloud Platform,General Purpose,E2,6,e2-standard-8,8,32,HDD,,16,,"Intel Xeon (Skylake, Haswell, Broadwell) or AMD EPYC (Rome)",https://cloud.google.com/compute/docs/machine-types#e2_machine_types,KVM
Google Cloud Platform,General Purpose,E2,7,e2-standard-16,16,64,HDD,,16,,"Intel Xeon (Skylake, Haswell, Broadwell) or AMD EPYC (Rome)",https://cloud.google.com/compute/docs/machine-types#e2_machine_types,KVM
Google Cloud Platform,General Purpose,E2,8,e2-standard-32,32,128,HDD,,16,,"Intel Xeon (Skylake, Haswell, Broadwell) or AMD EPYC (Rome)",https://cloud.google.com/compute/docs/machine-types#e2_machine_types,KVM
Google Cloud Platform,General Purpose,E2,9,e2-highmem-2,2,16,HDD,,4,,"Intel Xeon (Skylake, Haswell, Broadwell) or AMD EPYC (Rome)",https://cloud.google.com/compute/docs/machine-types#e2_machine_types,KVM
Google Cloud Platform,General Purpose,E2,10,e2-highmem-4,4,32,HDD,,8,,"Intel Xeon (Skylake, Haswell, Broadwell) or AMD EPYC (Rome)",https://cloud.google.com/compute/docs/machine-types#e2_machine_types,KVM
Google Cloud Platform,General Purpose,E2,11,e2-highmem-8,8,64,HDD,,16,,"Intel Xeon (Skylake, Haswell, Broadwell) or AMD EPYC (Rome)",https://cloud.google.com/compute/docs/machine-types#e2_machine_types,KVM
Google Cloud Platform,General Purpose,E2,12,e2-highmem-16,16,128,HDD,,16,,"Intel Xeon (Skylake, Haswell, Broadwell) or AMD EPYC (Rome)",https://cloud.google.com/compute/docs/machine-types#e2_machine_types,KVM
Google Cloud Platform,General Purpose,E2,13,e2-highcpu-2,2,2,HDD,,4,,"Intel Xeon (Skylake, Haswell, Broadwell) or AMD EPYC (Rome)",https://cloud.google.com/compute/docs/machine-types#e2_machine_types,KVM
Google Cloud Platform,General Purpose,E2,14,e2-highcpu-4,4,4,HDD,,8,,"Intel Xeon (Skylake, Haswell, Broadwell) or AMD EPYC (Rome)",https://cloud.google.com/compute/docs/machine-types#e2_machine_types,KVM
Google Cloud Platform,General Purpose,E2,15,e2-highcpu-8,8,8,HDD,,16,,"Intel Xeon (Skylake, Haswell, Broadwell) or AMD EPYC (Rome)",https://cloud.google.com/compute/docs/machine-types#e2_machine_types,KVM
Google Cloud Platform,General Purpose,E2,16,e2-highcpu-16,16,16,HDD,,16,,"Intel Xeon (Skylake, Haswell, Broadwell) or AMD EPYC (Rome)",https://cloud.google.com/compute/docs/machine-types#e2_machine_types,KVM
Google Cloud Platform,General Purpose,E2,17,e2-highcpu-32,32,32,HDD,,16,,"Intel Xeon (Skylake, Haswell, Broadwell) or AMD EPYC (Rome)",https://cloud.google.com/compute/docs/machine-types#e2_machine_types,KVM
Google Cloud Platform,Memory Optimized,M1,1,m1-ultramem-40,40,961,HDD,,32,,Intel Xeon (Broadwell),https://cloud.google.com/compute/docs/machine-types#m1_machine_types,KVM
Google Cloud Platform,Memory Optimized,M1,2,m1-ultramem-80,80,1922,HDD,,32,,Intel Xeon (Broadwell),https://cloud.google.com/compute/docs/machine-types#m1_machine_types,KVM
Google Cloud Platform,Memory Optimized,M1,3,m1-megamem-96,96,1433.6,SSD,,32,,Intel Xeon (Skylake),https://cloud.google.com/compute/docs/machine-types#m1_machine_types,KVM
Google Cloud Platform,Memory Optimized,M1,4,m1-ultramem-160,160,3844,HDD,,32,,Intel Xeon (Broadwell),https://cloud.google.com/compute/docs/machine-types#m1_machine_types,KVM
Google Cloud Platform,Memory Optimized,M2,1,m2-ultramem-208,208,5888,HDD,,32,,Intel Xeon (Cascade Lake),https://cloud.google.com/compute/docs/machine-types#m2_machine_types,KVM
Google Cloud Platform,Memory Optimized,M2,2,m2-megamem-416,416,5888,HDD,,32,,Intel Xeon (Cascade Lake),https://cloud.google.com/compute/docs/machine-types#m2_machine_types,KVM
Google Cloud Platform,Memory Optimized,M2,3,m2-ultramem-416,416,11776,HDD,,32,,Intel Xeon (Cascade Lake),https://cloud.google.com/compute/docs/machine-types#m2_machine_types,KVM
Google Cloud Platform,Shared Core,N1 Shared Core,1,f1-micro,1,0.6,HDD,,1,,"Intel Xeon (Skylake, Broadwell, Haswell, Sandy Bridge, Ivy Bridge)",https://cloud.google.com/compute/docs/machine-types#n1_shared-core_machine_types,KVM
Google Cloud Platform,Shared Core,N1 Shared Core,2,g1-small,1,1.7,HDD,,1,,"Intel Xeon (Skylake, Broadwell, Haswell, Sandy Bridge, Ivy Bridge)",https://cloud.google.com/compute/docs/machine-types#n1_shared-core_machine_types,KVM
Google Cloud Platform,General Purpose,N1,3,n1-standard-1,1,3.75,SSD,,2,,"Intel Xeon (Skylake, Broadwell, Haswell, Sandy Bridge, Ivy Bridge)",https://cloud.google.com/compute/docs/machine-types#n1_machine_type,KVM
Google Cloud Platform,General Purpose,N1,4,n1-standard-2,2,7.5,SSD,,10,,"Intel Xeon (Skylake, Broadwell, Haswell, Sandy Bridge, Ivy Bridge)",https://cloud.google.com/compute/docs/machine-types#n1_machine_type,KVM
Google Cloud Platform,General Purpose,N1,5,n1-standard-4,4,15,SSD,,10,,"Intel Xeon (Skylake, Broadwell, Haswell, Sandy Bridge, Ivy Bridge)",https://cloud.google.com/compute/docs/machine-types#n1_machine_type,KVM
Google Cloud Platform,General Purpose,N1,6,n1-standard-8,8,30,SSD,,16,,"Intel Xeon (Skylake, Broadwell, Haswell, Sandy Bridge, Ivy Bridge)",https://cloud.google.com/compute/docs/machine-types#n1_machine_type,KVM
Google Cloud Platform,General Purpose,N1,7,n1-standard-16,16,60,SSD,,32,,"Intel Xeon (Skylake, Broadwell, Haswell, Sandy Bridge, Ivy Bridge)",https://cloud.google.com/compute/docs/machine-types#n1_machine_type,KVM
Google Cloud Platform,General Purpose,N1,8,n1-standard-32,32,120,SSD,,32,,"Intel Xeon (Skylake, Broadwell, Haswell, Sandy Bridge, Ivy Bridge)",https://cloud.google.com/compute/docs/machine-types#n1_machine_type,KVM
Google Cloud Platform,General Purpose,N1,9,n1-standard-64,64,240,SSD,,32,,"Intel Xeon (Skylake, Broadwell, Haswell, Sandy Bridge, Ivy Bridge)",https://cloud.google.com/compute/docs/machine-types#n1_machine_type,KVM
Google Cloud Platform,General Purpose,N1,10,n1-standard-96,96,360,SSD,,32,,"Intel Xeon (Skylake, Broadwell, Haswell, Sandy Bridge, Ivy Bridge)",https://cloud.google.com/compute/docs/machine-types#n1_machine_type,KVM
Google Cloud Platform,General Purpose,N1,11,n1-highmem-2,2,13,SSD,,10,,"Intel Xeon (Skylake, Broadwell, Haswell, Sandy Bridge, Ivy Bridge)",https://cloud.google.com/compute/docs/machine-types#n1_machine_type,KVM
Google Cloud Platform,General Purpose,N1,12,n1-highmem-4,4,26,SSD,,10,,"Intel Xeon (Skylake, Broadwell, Haswell, Sandy Bridge, Ivy Bridge)",https://cloud.google.com/compute/docs/machine-types#n1_machine_type,KVM
Google Cloud Platform,General Purpose,N1,13,n1-highmem-8,8,52,SSD,,16,,"Intel Xeon (Skylake, Broadwell, Haswell, Sandy Bridge, Ivy Bridge)",https://cloud.google.com/compute/docs/machine-types#n1_machine_type,KVM
Google Cloud Platform,General Purpose,N1,14,n1-highmem-16,16,104,SSD,,32,,"Intel Xeon (Skylake, Broadwell, Haswell, Sandy Bridge, Ivy Bridge)",https://cloud.google.com/compute/docs/machine-types#n1_machine_type,KVM
Google Cloud Platform,General Purpose,N1,15,n1-highmem-32,32,208,SSD,,32,,"Intel Xeon (Skylake, Broadwell, Haswell, Sandy Bridge, Ivy Bridge)",https://cloud.google.com/compute/docs/machine-types#n1_machine_type,KVM
Google Cloud Platform,General Purpose,N1,16,n1-highmem-64,64,416,SSD,,32,,"Intel Xeon (Skylake, Broadwell, Haswell, Sandy Bridge, Ivy Bridge)",https://cloud.google.com/compute/docs/machine-types#n1_machine_type,KVM
Google Cloud Platform,General Purpose,N1,17,n1-highmem-96,96,624,SSD,,32,,"Intel Xeon (Skylake, Broadwell, Haswell, Sandy Bridge, Ivy Bridge)",https://cloud.google.com/compute/docs/machine-types#n1_machine_type,KVM
Google Cloud Platform,General Purpose,N1,18,n1-highcpu-2,2,1.8,SSD,,10,,"Intel Xeon (Skylake, Broadwell, Haswell, Sandy Bridge, Ivy Bridge)",https://cloud.google.com/compute/docs/machine-types#n1_machine_type,KVM
